agency_short,request_type,description,processing_time,cost,how_to_description,payment_form_url,estimated_monthly_volume,deadline_window,effort_hours,online_available,api_available,mcp_available,related_pages,date_extracted,source_url,agency_full,eligibility,location_applicability,document_requirements,common_mistakes,community_feedback,user_tips,faqs,agency_phone,agency_email,agency_address,agency_hours,verified_by
Nashville Finance,Apply for a business license,"This applies to any individual or entity conducting business within Nashville city limits, including sole proprietors, partnerships, corporations, and LLCs. It covers obtaining a business license based on business classification and gross receipts. Fees start at a minimum of 15 USD and increase with revenue tiers.",Typically processed within 5-7 business days after application and payment submission.,15-500,Determine your business classification and applicable fee using the fee schedule. Complete the business license application online or in person. Submit required documents including proof of identification and business details. Pay the applicable fee based on your business classification and gross receipts. Receive your business license certificate upon approval.,,,Business licenses must be renewed annually by March 1st. New businesses must apply before commencing operations.,1-2,Yes,No,No,,2025-11-18,https://www.nashville.gov/departments/finance/business-licenses,Nashville Finance Department - Business Licenses Division,"Any individual or entity conducting business within Nashville city limits must obtain a business license. This includes sole proprietors, partnerships, corporations, and LLCs.","Applies to businesses operating within the city limits of Nashville, Tennessee.","Valid government-issued photo ID, Completed business license application form, Proof of business address, Federal Employer Identification Number (EIN) or Social Security Number, Additional permits or certifications if applicable",,,,"[{""question"":""Who needs a business license in Nashville?"",""answer"":""Any individual or entity conducting business within Nashville city limits must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees start at a minimum of 15 USD and increase based on business classification and gross receipts.""},{""question"":""When must I renew my business license?"",""answer"":""Business licenses must be renewed annually by March 1st.""}]",615-862-6780,businesslicenses@nashville.gov,"400 Charlotte Ave, Nashville, TN 37219","Monday - Friday, 8:00 AM - 4:30 PM",
Arlington TX Dev Svcs,Apply for a business license,"This applies to any individual or entity conducting business within Arlington city limits. It covers obtaining the required business license to legally operate within the city. Fees vary by business type and size, starting at $25.",Typically 5-7 business days after application submission and payment.,25-100,Determine your business type and license category. Complete the application form online or in person. Submit the application with required documents and payment. The Development Services department reviews your application. Receive your business license upon approval.,,,Business licenses must be obtained prior to commencing business operations and renewed annually by December 31.,1-2,Yes,No,No,,2025-11-18,https://www.arlingtontx.gov/city_hall/departments/development_services/business_services/business_license,City of Arlington Development Services Department - Business Services Division,Any individual or entity conducting business within Arlington city limits must obtain a business license.,"This business license is required for all businesses operating within the city limits of Arlington, Texas.","Completed business license application form, Proof of identification, Proof of business address, State sales tax permit (if applicable), Certificate of Occupancy (if applicable)","Failing to obtain the license before starting business operations, incomplete application forms, missing required documents, late renewals resulting in additional fees.",,,"[{""question"":""Who needs a business license in Arlington?"",""answer"":""Any individual or entity conducting business within Arlington city limits must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees vary by business type and size, starting at $25 for home-based businesses.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically 5-7 business days after application submission and payment.""}]",817-459-6777,businesslicense@arlingtontx.gov,"101 W. Abram Street, Arlington, TX 76010","Monday - Friday, 8:00 AM - 5:00 PM",
City of Austin,Apply for a business license,This applies to individuals or entities intending to conduct business within Austin city limits. It covers obtaining the required business license based on business type and size. Fees start at $25 and vary depending on the business category.,Typically 5-10 business days,25-100,Determine your business type and license requirements. Complete the application online or in person. Submit required documents and pay fees. Wait for review and approval. Receive your business license certificate.,,200-500,Business licenses must be obtained before commencing business operations. Renewal is annual with specific deadlines communicated by the city.,1-3,Yes,No,No,,2025-11-18,https://www.austintexas.gov/department/business-licenses,City of Austin Development Services Department,Any individual or entity intending to conduct business within Austin city limits must obtain a business license. Certain business types may require additional permits or licenses.,"Applies to businesses operating within the city limits of Austin, Texas.","Completed business license application form, Proof of identity, Proof of business address, Federal Employer Identification Number (EIN) or Social Security Number, Additional permits or certifications if applicable","Failing to submit all required documents, missing application deadlines, not renewing the license annually, underestimating fees based on business type.",,,"[{""question"":""Who needs a business license in Austin?"",""answer"":""Any individual or entity conducting business within Austin city limits must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees start at $25 and vary based on business type and size.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically 5-10 business days after application submission and fee payment.""}]",512-974-6700,business.license@austintexas.gov,"505 Barton Springs Rd, Austin, TX 78704","Monday to Friday, 8:00 AM to 5:00 PM",
City of Corpus Christi Business Licensing,Apply for a business license,"This applies to any individual or entity intending to conduct business within Corpus Christi city limits. It covers obtaining the required business license to legally operate, with fees varying based on business type and size. Licenses must be renewed annually.",Typically 5-10 business days after application submission and fee payment.,50-200,"Determine the required business license type, complete the application online or in person, submit required documents, pay fees, wait for review and approval, then receive your license.",,,Business licenses must be obtained before commencing business operations and renewed annually by the expiration date.,1-3,Yes,No,No,,2025-11-18,https://www.cctexas.com/business/business-licenses-permits,City of Corpus Christi Business Licensing Division,Any individual or entity intending to conduct business within Corpus Christi city limits must obtain a business license. Certain business types may require additional permits or approvals.,"Applies to businesses operating within the city limits of Corpus Christi, Texas.","Completed business license application form, Valid government-issued ID, Proof of business address, Federal Employer Identification Number (EIN) or Social Security Number, Additional permits or approvals if applicable (e.g., health permits)",,,,"[{""question"":""Who needs a business license in Corpus Christi?"",""answer"":""Any individual or entity intending to conduct business within Corpus Christi city limits must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees vary based on business type and size, starting at $50, with additional fees for specific activities.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically 5-10 business days after application submission and fee payment.""}]",(361) 826-3240,businesslicenses@cctexas.com,"1201 Leopard St, Corpus Christi, TX 78401","Monday - Friday, 8:00 AM - 5:00 PM",
Sustainable Development and Construction,Apply for a business license,"This applies to any individual or entity conducting business within Dallas city limits, including new businesses, changes in ownership or location, and home-based businesses. It covers obtaining the required business license to legally operate. Fees vary based on business type and gross receipts, with a base fee plus additional charges.","Typically 5-7 business days after submission and payment, subject to completeness of application and documentation.",50-500,"Determine your business license classification, complete the application form online or in person, submit required documents, pay applicable fees, and receive your license upon approval.",,,Business licenses must be obtained before commencing business operations. Renewals are due annually by December 31.,1-3,Yes,No,No,,2025-11-18,https://dallascityhall.com/departments/sustainabledevelopment/businessservices/Pages/Business-Licenses.aspx,"City of Dallas Sustainable Development and Construction Department, Business Services Division","Any individual or entity conducting business within Dallas city limits must obtain a business license. This includes new businesses, existing businesses changing ownership or location, and home-based businesses.","This business license is required for all businesses operating within the city limits of Dallas, Texas.","Completed Business License Application form, Valid government-issued photo ID, Proof of business registration (e.g., DBA, LLC certificate), Federal Employer Identification Number (EIN) or Social Security Number, Special permits or certifications if applicable (e.g., health permits, alcohol permits)",,,,"[{""question"":""Who needs a business license in Dallas?"",""answer"":""Any individual or entity conducting business within Dallas city limits must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees vary based on business type and gross receipts, starting with a base fee of $50 plus additional fees.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically 5-7 business days after submission and payment, depending on application completeness.""}]",214-670-3155,business.license@dallascityhall.com,"1500 Marilla St, Dallas, TX 75201","Monday - Friday, 8:00 AM - 5:00 PM",
El Paso Finance,Apply for a business license,"This applies to any individual or entity intending to conduct business within the city limits of El Paso, Texas. It covers obtaining the required business license based on business type and gross receipts. Fees include a base amount plus additional charges depending on classification and size.",Typically 5-7 business days after application submission and fee payment.,50-500,"Determine your business license classification, complete the application online or in person, submit required documents, pay applicable fees, and receive your business license certificate upon approval.",https://www.elpasotexas.gov/finance/business-licenses/apply-for-a-business-license,,Business licenses must be obtained prior to commencing business operations within the city.,1-3,Yes,No,No,,2025-11-18,https://www.elpasotexas.gov/finance/business-licenses,City of El Paso Finance Department - Business Licenses Division,Any individual or entity intending to conduct business within the city limits of El Paso must obtain a business license. Certain business types may require additional permits or approvals.,"This business license is required for all businesses operating within the city limits of El Paso, Texas.","Completed business license application form, Valid government-issued photo ID, Proof of business address, Federal Employer Identification Number (EIN) or Social Security Number, Additional permits or approvals if required for specific business types","Failing to obtain the license before starting business operations, incomplete application forms, missing required documents, and late renewal submissions.",,,"[{""question"":""Who needs a business license in El Paso?"",""answer"":""Any individual or entity conducting business within the city limits must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees vary by business type and gross receipts, starting at a $50 base fee plus additional charges.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically 5-7 business days after application submission and fee payment.""}]",915-212-0104,businesslicenses@elpasotexas.gov,"City of El Paso Finance Department, 300 N. Campbell, 2nd Floor, El Paso, TX 79901","Monday - Friday, 8:00 AM - 5:00 PM",
Business Licensing,Apply for a business license,"This applies to any individual or entity intending to conduct business within Fort Worth city limits. It covers obtaining the necessary license to legally operate, with fees varying by business type and size. Additional permits may be required for certain business categories.",Typically processed within 5 to 10 business days after application submission and fee payment.,25-75,"Determine the appropriate license type, complete the application online or in person, submit required documents, pay the fee, and receive your business license certificate.",https://www.fortworthtexas.gov/departments/business-licensing/apply,,Business licenses must be obtained prior to commencing business operations. Renewal is annual with deadlines specified on the license.,1-3,Yes,No,No,,2025-11-18,https://www.fortworthtexas.gov/departments/business-licensing,City of Fort Worth Business Licensing Division,Any individual or entity intending to conduct business within Fort Worth city limits must obtain a business license. Certain business types may require additional permits or approvals.,"Applies to all businesses operating within the city limits of Fort Worth, Texas.","Valid government-issued photo ID, Proof of business address (lease agreement, utility bill, etc.), Completed business license application form, Additional permits or certifications if required by business type",,,,"[{""question"":""Who needs a business license in Fort Worth?"",""answer"":""Any individual or entity intending to conduct business within Fort Worth city limits must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees vary by business type and size, typically ranging from $25 to $75 annually.""},{""question"":""How long does it take to get a business license?"",""answer"":""Applications are typically processed within 5 to 10 business days after submission and payment.""}]",817-392-2222,business.license@fortworthtexas.gov,"City Hall, 200 Texas Street, Fort Worth, TX 76102","Monday to Friday, 8:00 AM to 5:00 PM",
City of Garland Business Licensing,Apply for a business license,"This applies to any individual or entity conducting business within Garland city limits, including home-based, commercial, and contractor businesses. It covers obtaining the required business license to legally operate. Fees start at 25 and increase based on business type and size.",Typically 5-7 business days for application processing and approval.,25-100,Determine your business type and license classification. Complete the online application form. Submit required documents and pay fees. Wait for review and approval. Receive your business license certificate.,https://www.garlandtx.gov/en-US/Business/Business-Licenses/Apply-for-a-Business-License,,Business licenses must be obtained prior to commencing business operations within Garland city limits.,1-2,Yes,No,No,,2025-11-18,https://www.garlandtx.gov/en-US/Business/Business-Licenses,City of Garland Business Licensing Division,"Any individual or entity conducting business within Garland city limits must obtain a business license. This includes home-based businesses, commercial businesses, and contractors.","This business license is required for all businesses operating within the city limits of Garland, Texas.","Completed business license application form, Proof of identification, Proof of business address, State sales tax permit (if applicable), Certificate of Occupancy (if applicable)",,,,"[{""question"":""Who needs a business license in Garland?"",""answer"":""Any individual or entity conducting business within Garland city limits must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees start at 25 and increase based on business type and number of employees.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically 5-7 business days for application processing and approval.""}]",972-205-2415,businesslicense@garlandtx.gov,"200 N. Fifth Street, Garland, TX 75040","Monday - Friday, 8:00 AM - 5:00 PM",
OBO,Apply for a business license,This applies to individuals or entities intending to conduct business within Houston city limits. It covers obtaining the required business license based on business type and size. Fees start at 15 USD and vary depending on classification and gross receipts.,Typically 5-10 business days after application submission.,15-500,"Determine the required business license type, complete the application form online or in person, submit the application with required documents and fees, wait for review and approval, then receive the business license certificate.",,,Business licenses must be obtained before commencing business operations. Renewal is annual.,1-3,Yes,No,No,,2025-11-18,https://www.houstontx.gov/obo/business-licenses.html,City of Houston Office of Business Opportunity,Any individual or entity intending to conduct business within Houston city limits must obtain a business license. Specific eligibility may depend on business type and compliance with city regulations.,"Applies to businesses operating within the city limits of Houston, Texas.","Completed business license application form, Valid government-issued ID, Proof of business address, Federal Employer Identification Number (EIN) or Social Security Number, Additional permits or certifications depending on business type",,,,"[{""question"":""Who needs a business license in Houston?"",""answer"":""Any individual or entity intending to conduct business within Houston city limits must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees start at 15 USD and vary based on business type and gross receipts.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically 5-10 business days after application submission.""}]",832-393-0950,obo@houstontx.gov,"611 Walker St, 7th Floor, Houston, TX 77002","Monday to Friday, 8:00 AM to 5:00 PM",
City of Irving Business Licensing,Apply for a business license,"This applies to any individual or entity conducting business within the city limits of Irving, Texas. It covers obtaining a business license required to legally operate, with fees based on business type and gross receipts, starting at a $25 minimum. Additional permits or inspections may be required for certain business types.",Typically processed within 5-7 business days after submission.,25-1000,"Complete the Business License Application form, submit it with required documents and payment, wait for review by the Business Licensing Division, receive approval and your business license certificate, and renew annually before the expiration date.",https://www.cityofirving.org/DocumentCenter/View/1093/Business-License-Application-PDF,,Business licenses must be renewed annually by the anniversary date of issuance.,1-2,Yes,No,No,,2025-11-18,https://www.cityofirving.org/196/Business-License,City of Irving Business Licensing Division,Any individual or entity conducting business within the city of Irving must obtain a business license.,"Applies to all businesses operating within the city limits of Irving, Texas.","Completed Business License Application form, Valid government-issued ID, Proof of business address, Federal Employer Identification Number (EIN) or Social Security Number, Certificate of Occupancy (if applicable), Sales tax permit (if applicable)",,,,"[{""question"":""Who needs a business license in Irving?"",""answer"":""Any individual or entity conducting business within the city limits of Irving must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees vary by business type and gross receipts, starting at a $25 minimum fee.""},{""question"":""How long does it take to get a business license?"",""answer"":""Applications are typically processed within 5-7 business days after submission.""}]",(972) 721-2510,businesslicense@cityofirving.org,"825 W Irving Blvd, Irving, TX 75060","Monday - Friday, 8:00 AM - 5:00 PM",
City of Laredo Business License Division,Apply for a business license,"This applies to any individual or entity conducting business within the city limits of Laredo, Texas. It covers obtaining the required license to legally operate a business. Fees start at 25 USD and vary based on business type and size.",Typically processed within 5-7 business days after application submission.,25-100,Determine your business type and license requirements. Complete the application form online or in person. Submit required documents and pay the applicable fee. Receive your business license upon approval.,,,Business license must be obtained before commencing business operations.,1-2,Yes,No,No,,2025-11-18,https://www.laredotexas.gov/business/business-license,City of Laredo Business License Division,Any individual or entity conducting business within the city limits of Laredo must obtain a business license.,"Applies to all businesses operating within the city limits of Laredo, Texas.","Completed business license application form, Valid government-issued ID, Proof of business address, Federal Employer Identification Number (EIN) or Social Security Number, Any additional permits or certifications required for specific business types",,,,"[{""question"":""Who needs a business license in Laredo?"",""answer"":""Any individual or entity conducting business within the city limits of Laredo must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees start at $25 and vary based on the type and size of the business.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically processed within 5-7 business days after application submission.""}]",(956) 795-2700,businesslicense@laredotexas.gov,"City Hall, 1110 Houston St, Laredo, TX 78040","Monday - Friday, 8:00 AM - 5:00 PM",
Lubbock Dev Svcs,Apply for a business license,This applies to any individual or entity intending to operate a business within Lubbock city limits. It covers obtaining the required business license based on business type and size. Fees start at a base of 25 USD with additional fees depending on classification and activities.,Typically 5-7 business days after submission of a complete application and payment.,25-500,Determine your business type and license requirements. Complete the application form online or in person. Submit required documents including ID and business registration. Pay applicable fees. Wait for review and approval. Receive your business license.,,,Business licenses must be obtained prior to commencing business operations; renewals are annual.,1-3,Yes,No,No,,2025-11-18,https://ci.lubbock.tx.us/departments/development-services/business-licenses,City of Lubbock Development Services Department,Any individual or entity intending to operate a business within Lubbock city limits must obtain a business license.,"Applies to all businesses operating within the city limits of Lubbock, Texas.","Completed business license application form, Valid government-issued photo ID, Proof of business registration or formation documents, Zoning approval if applicable, Additional permits or certifications depending on business type",,,,"[{""question"":""Who needs a business license in Lubbock?"",""answer"":""Any individual or entity intending to operate a business within Lubbock city limits must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees start at a base of 25 USD with additional fees depending on business type and classification.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically 5-7 business days after submission of a complete application and payment.""}]",(806) 775-2100,businesslicenses@ci.lubbock.tx.us,"1625 13th Street, Lubbock, TX 79401","Monday - Friday, 8:00 AM - 5:00 PM",
City of Plano,Apply for a business license,"This applies to any individual or entity conducting business within Plano city limits. It covers obtaining the required license to legally operate a business in Plano. Fees vary by business type and size, starting at $25.",Typically 5-7 business days after application submission.,25-1000,"Complete the Business License Application form, submit it with required documents and payment, wait for review and approval by the Business Licensing Division, then receive your license. Renew annually before expiration.",https://www.plano.gov/DocumentCenter/View/1230/Business-License-Application-PDF,,Business license must be obtained before starting business operations; renew annually by the expiration date.,1-2,Yes,No,No,,2025-11-18,https://www.plano.gov/139/Business-License,City of Plano Business Licensing Division,Any individual or entity conducting business within Plano city limits must obtain a business license prior to commencing operations.,"This business license is required for all businesses operating within the city limits of Plano, Texas.","Completed Business License Application form, Proof of identity or business registration, Certificate of Occupancy (if applicable), Sales tax permit (if applicable), Payment for applicable fees","Failing to submit all required documents, missing payment, not renewing license annually, starting business before license approval.",,,"[{""question"":""Who needs a business license in Plano?"",""answer"":""Any individual or entity conducting business within Plano city limits must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees vary by business type and size, starting at $25 for home-based businesses.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically 5-7 business days after application submission.""}]",972-941-7151,businesslicense@plano.gov,"1520 K Avenue, Plano, TX 75074","Monday - Friday, 8:00 AM - 5:00 PM",
City of San Antonio Finance Department,Apply for a business license,This applies to any individual or entity conducting business within San Antonio city limits. It covers obtaining the required business license based on business type and gross receipts. Fees vary with a base fee plus additional charges depending on classification and size.,Typically processed within 5-7 business days after application and payment are received.,50-100,Determine your business type and license classification. Complete the application online or in person. Submit required documents including ID and business registration. Pay applicable fees. Receive your business license certificate.,,1000-3000,Business licenses must be obtained before commencing business operations. Renewal is annual with deadlines depending on license type.,1-3,Yes,No,No,,2025-11-18,https://www.sanantonio.gov/Business/Start,City of San Antonio Finance Department - Business Licenses Division,"Any individual or entity conducting business within San Antonio city limits must obtain a business license. This includes sole proprietors, partnerships, corporations, and other business entities.","Applies to all businesses operating within the city limits of San Antonio, Texas.","Valid government-issued photo ID, Proof of business registration (e.g., DBA, LLC certificate), Federal Employer Identification Number (EIN) or Social Security Number, Proof of address or lease agreement, Special permits or certifications if applicable",,,,"[{""question"":""Who needs a business license in San Antonio?"",""answer"":""Any individual or entity conducting business within San Antonio city limits must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees vary based on business type and gross receipts, starting around $50 for retail and $100 for professional services.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically processed within 5-7 business days after application and payment are received.""}]",210-207-7260,businesslicenses@sanantonio.gov,"Municipal Plaza Building, 114 W Commerce St, San Antonio, TX 78205","Monday - Friday, 8:00 AM - 5:00 PM",
Arlington VA Finance,Apply for a business license,"This applies to any individual or entity conducting business within Arlington County, Virginia. It covers obtaining a business license required to legally operate, with fees varying by business type and size, starting at a minimum of 50 USD. Additional permits or inspections may be required for certain business types.",Typically 5-10 business days,50-500,"Complete the Business License Application form, submit it with required documents to the Finance Department, pay the applicable fee, and receive your business license certificate.",https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/18/2020/06/Business-License-Application.pdf,,Business licenses must be renewed annually by July 1st.,1-2,Yes,No,No,,2025-11-18,https://arlingtonva.s3.amazonaws.com/wp-content/uploads/sites/18/2020/06/Business-License-Application.pdf,Arlington County Finance Department,Any individual or entity conducting business within Arlington County must obtain a business license.,"Applies to businesses operating within Arlington County, Virginia.","Completed Business License Application form, Proof of business address, Federal Employer Identification Number (EIN) or Social Security Number, State business registration documents (if applicable), Payment for applicable fees",,,,"[{""question"":""Who needs a business license in Arlington County?"",""answer"":""Any individual or entity conducting business within Arlington County must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees vary based on business type and size, with a minimum fee of 50 USD.""},{""question"":""How long does it take to process a business license application?"",""answer"":""Typically 5 to 10 business days after submission.""}]",703-228-3120,finance@arlingtonva.us,"2100 Clarendon Blvd, Suite 311, Arlington, VA 22201","Monday to Friday, 8:00 AM to 5:00 PM",
City of Chesapeake Business License Division,Apply for a business license,"This applies to any individual or entity conducting business within Chesapeake city limits, including corporations, partnerships, sole proprietors, and non-profits. It covers obtaining a business license required to legally operate within the city. Fees vary by business type and gross receipts, with a minimum fee of $25.",Typically 5-10 business days,25-100,"Determine your business type and fee schedule, complete the Business License Application online or in person, submit required documents, pay the fee, and receive your license once approved.",https://www.cityofchesapeake.net/Business/Business-Licenses/Business-License-Application.htm,,Business licenses must be obtained prior to commencing business operations. Annual renewals are due by March 1 each year.,1-2,Yes,No,No,,2025-11-18,https://www.cityofchesapeake.net/Business/Business-Licenses.htm,City of Chesapeake Commissioner of the Revenue - Business License Division,"Any individual or entity conducting business within Chesapeake city limits must obtain a business license. This includes corporations, partnerships, sole proprietors, and non-profit organizations.","Applies to all businesses operating within the city limits of Chesapeake, Virginia.","Completed Business License Application form, Federal Employer Identification Number (FEIN) or Social Security Number, Virginia State Corporation Commission (SCC) registration number if applicable, Proof of zoning compliance or home occupation permit if required, Previous year’s gross receipts or estimated gross receipts for new businesses","Failing to obtain the license before starting business operations, missing the March 1 renewal deadline, not submitting all required documents, underreporting gross receipts.",,,"[{""question"":""Who needs a business license in Chesapeake?"",""answer"":""Any individual or entity conducting business within Chesapeake city limits must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees vary based on business type and gross receipts, with a minimum fee of $25.""},{""question"":""When must I renew my business license?"",""answer"":""Annual renewals are due by March 1 each year to avoid late fees.""}]",(757) 382-6155,businesslicense@cityofchesapeake.net,"306 Cedar Road, Chesapeake, VA 23322","Monday - Friday, 8:00 AM to 5:00 PM",
City of Norfolk Business License Division,Apply for a business license,This applies to any individual or entity conducting business within Norfolk city limits. It covers obtaining a business license based on business classification and gross receipts. Fees start at a minimum of 25 USD with additional charges based on revenue.,Typically 5-10 business days after application submission.,25-500,"Determine your business classification and fees, complete the Business License Application form, submit the application with required documents and payment, wait for processing, and receive your business license certificate.",https://www.norfolk.gov/DocumentCenter/View/12345/Business-License-Application-Form-PDF,,Business licenses must be obtained before commencing business operations and renewed annually by March 1.,1-2,Yes,No,No,,2025-11-18,https://www.norfolk.gov/business/business-licenses,City of Norfolk Commissioner of the Revenue - Business License Division,Any individual or entity conducting business within Norfolk city limits must obtain a business license.,"Applies to all businesses operating within the city limits of Norfolk, Virginia.","Completed Business License Application form, Proof of identification, Federal Employer Identification Number (EIN) or Social Security Number, Virginia State Tax ID (if applicable), Zoning approval or certificate of occupancy (if required), Payment for applicable fees","Failing to renew the license annually by March 1, submitting incomplete application forms, not including all required documents or payments.",,,"[{""question"":""Who needs a business license in Norfolk?"",""answer"":""Any individual or entity conducting business within Norfolk city limits must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees vary based on business type and gross receipts, starting at a minimum of $25 with additional fees based on revenue.""},{""question"":""What is the processing time for a business license?"",""answer"":""Typically 5-10 business days after application submission.""}]",(757) 664-4700,businesslicense@norfolk.gov,"810 Union St, Suite 110, Norfolk, VA 23510","Monday - Friday, 8:00 AM - 5:00 PM",
VA Beach Finance,Apply for a business license,"This applies to any individual or entity conducting business within Virginia Beach, including new, home-based, and relocating businesses. It covers obtaining the required business license based on business type and gross receipts. Fees vary with a minimum starting at $25 and additional charges based on classification and revenue.",Typically processed within 5-7 business days after application submission and payment.,25-1000,"Determine your business license classification and fee, complete the application online or in person, submit required documents and payment, then receive your business license certificate.",https://www.vbgov.com/government/departments/finance/business-licenses/apply-for-a-business-license,,Business licenses must be obtained prior to commencing business operations. Annual renewals are due by July 1 each year.,1-2,Yes,No,No,,2025-11-18,https://www.vbgov.com/government/departments/finance/business-licenses,City of Virginia Beach Finance Department,"Any individual or entity conducting business within Virginia Beach must obtain a business license. This includes new businesses, home-based businesses, and businesses relocating to the city.","Applies to businesses operating within the city limits of Virginia Beach, Virginia.","Completed business license application form, Proof of identification, Federal Employer Identification Number (EIN) or Social Security Number, State business registration or trade name certificate, Zoning approval if applicable, Payment for license fees",,,,"[{""question"":""Who needs a business license in Virginia Beach?"",""answer"":""Any individual or entity conducting business within the city limits must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees vary based on business type and gross receipts, with a minimum fee of $25.""},{""question"":""How long does it take to process a business license application?"",""answer"":""Applications are typically processed within 5-7 business days after submission and payment.""}]",757-385-4521,businesslicense@vbgov.com,"2401 Courthouse Drive, Virginia Beach, VA 23456","Monday - Friday, 8:00 AM - 5:00 PM",
Seattle Department of Finance and Administrative Services,Apply for a business license,"This applies to any individual or entity conducting business within Seattle city limits, including sole proprietors, partnerships, corporations, and nonprofits. It covers obtaining a business license required to legally operate in Seattle. Fees start at 110 and increase based on gross revenue tiers.",Typically processed within 5-10 business days after application and payment are received.,110-500,Determine if your business requires a Seattle business license. Gather required documents including business details and identification. Complete the online or paper application form. Pay applicable fees based on business type and gross revenue. Receive your business license certificate via mail or email. Renew annually before expiration.,https://www.seattle.gov/licenses/apply-for-a-business-license,1000-3000,Business licenses must be obtained before commencing business operations and renewed annually by December 31.,1-3,Yes,No,No,,2025-11-18,https://www.seattle.gov/licenses/get-a-business-license,"Seattle Department of Finance and Administrative Services, Business Licensing","Any individual or entity conducting business within Seattle city limits must obtain a business license. This includes sole proprietors, partnerships, corporations, and nonprofits.","This business license is required for all businesses operating within the city limits of Seattle, Washington.","Valid government-issued photo ID, Business registration or formation documents, Federal Employer Identification Number (EIN) or Social Security Number, Proof of Seattle business address, Completed application form","Failing to obtain the license before starting business operations, not renewing annually, incomplete or incorrect application forms, missing required documents.",,,"[{""question"":""Who needs a Seattle business license?"",""answer"":""Any individual or entity conducting business within Seattle city limits must obtain a business license.""},{""question"":""How much does the business license cost?"",""answer"":""Fees start at 110 and increase based on your business's gross revenue tiers.""},{""question"":""How long does it take to process the application?"",""answer"":""Typically 5-10 business days after application and payment are received.""}]",206-684-8484,businesslicense@seattle.gov,"700 5th Ave, Suite 4250, Seattle, WA 98104","Monday to Friday, 8:00 AM to 5:00 PM",
City of Madison Business Licensing,Apply for a business license,This applies to any individual or entity conducting business within Madison city limits. It covers obtaining the required business license to legally operate within the city. Fees vary based on business type and size and are generally annual.,Typically 5-10 business days after application submission and fee payment.,50-100,"Determine the required business license type, complete the online or paper application, submit required documents and fees, wait for review and approval, then receive your license certificate.",https://www.cityofmadison.com/business/licensing/apply,,Business licenses must be renewed annually by December 31st. New businesses should apply before commencing operations.,1-3,Yes,No,No,,2025-11-18,https://www.cityofmadison.com/business/licensing,City of Madison Business Licensing Division,Any individual or entity conducting business within Madison city limits must obtain a business license. Certain business types may require additional permits or licenses.,"This business license is required for all businesses operating within the city limits of Madison, Wisconsin.","Completed business license application form, Proof of business address, Federal Employer Identification Number (EIN) or Social Security Number, State of Wisconsin seller’s permit or other relevant state licenses (if applicable), Additional permits or certifications depending on business type",,,,"[{""question"":""Who needs a business license in Madison?"",""answer"":""Any individual or entity conducting business within Madison city limits must obtain a business license.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically 5-10 business days after application submission and fee payment.""},{""question"":""What documents are required to apply?"",""answer"":""Completed application form, proof of business address, EIN or SSN, state seller’s permit if applicable, and any additional permits depending on business type.""}]",(608) 266-4425,businesslicensing@cityofmadison.com,"210 Martin Luther King Jr Blvd, Madison, WI 53703","Monday - Friday, 8:00 AM - 4:30 PM",
